date,filtered_mean,filtered_variance,smoothed_mean,smoothed_variance,simple_return
2017-08-14,0.0013857662728799013,3.931142812743355e-5,0.0014339343882037326,1.60377582254247e-5,0.0013867268906406771
2017-08-15,-7.396474679068779e-4,3.931142812743355e-5,-6.837232114589466e-4,1.60377582254247e-5,-7.393739961468748e-4
2017-08-16,-3.8752615807117834e-5,3.931142812743355e-5,7.498461024473043e-5,1.60377582254247e-5,-3.8751864934183367e-5
2017-08-17,-7.60247159581029e-4,3.931142812743355e-5,-3.896404083543214e-4,1.60377582254247e-5,-7.599582449293596e-4
2017-08-18,-0.0010815515853105453,3.931142812743355e-5,-0.0010350961681042773,1.60377582254247e-5,-0.0010809669191959026
2017-08-21,2.981223199063948e-4,3.931142812743355e-5,2.3509731694237835e-4,1.60377582254247e-5,2.9816676278149323e-4
2017-08-22,4.4440346835610515e-4,3.931142812743355e-5,1.1356991975542614e-4,1.60377582254247e-5,4.4450223020686686e-4
2017-08-23,0.0011184961164854737,3.931142812743355e-5,0.0010106685604994632,1.60377582254247e-5,0.0011191218665447256
2017-08-24,-1.0879370088993364e-4,3.931142812743355e-5,-3.078034883862438e-5,1.60377582254247e-5,-1.0878778306988579e-4
2017-08-25,-2.8971664961392816e-4,3.931142812743355e-5,-2.3684462829960405e-4,1.60377582254247e-5,-2.896746857979915e-4
2017-08-28,1.808269700591862e-5,3.931142812743355e-5,-8.061769154606004e-5,1.60377582254247e-5,1.8082860498980224e-5
2017-08-29,4.817308722056177e-4,3.931142812743355e-5,3.4387844077221483e-4,1.60377582254247e-5,4.818469231566702e-4
2017-08-30,6.614250014186576e-4,3.931142812743355e-5,3.114223326530901e-4,1.60377582254247e-5,6.616437911699524e-4
2017-08-31,0.0010546889835100798,3.931142812743355e-5,9.984711824667012e-4,1.60377582254247e-5,0.0010552453635215286
2017-09-01,-6.16011015716449e-4,3.931142812743355e-5,-1.9048560258631166e-4,1.60377582254247e-5,-6.158213198842466e-4
2017-09-05,-0.0014266803059403501,3.931142812743355e-5,-0.0012835157756759929,1.60377582254247e-5,-0.0014256630814015736
2017-09-06,-8.014942035105914e-5,3.931142812743355e-5,1.9276018687029283e-5,1.60377582254247e-5,-8.01462084720761e-5
2017-09-07,-5.381315144552494e-4,3.931142812743355e-5,-3.234932991264122e-4,1.60377582254247e-5,-5.379867476608124e-4
2017-09-08,-4.7268830140048625e-4,3.931142812743355e-5,-5.632886530232433e-4,1.60377582254247e-5,-4.7257660188571027e-4
2017-09-11,0.0010084034889267048,3.931142812743355e-5,4.966598160059185e-4,1.60377582254247e-5,0.0010089120986718214
2017-09-12,0.001348337448179773,3.931142812743355e-5,0.0014445909365626087,1.60377582254247e-5,0.001349246863803888
2017-09-13,-6.416787348103469e-4,3.931142812743355e-5,-8.406685850238043e-4,1.60377582254247e-5,-6.414729030392863e-4
2017-09-14,9.045583974860705e-4,3.931142812743355e-5,9.441565516087389e-4,1.60377582254247e-5,9.049676338166446e-4
2017-09-15,-2.4995229370830335e-4,3.931142812743355e-5,-4.75270398857431e-4,1.60377582254247e-5,-2.4992105823629096e-4
2017-09-18,0.0010713517440319289,3.931142812743355e-5,8.927585034348817e-4,1.60377582254247e-5,0.0010719258463152137
2017-09-19,5.795793106105947e-4,3.931142812743355e-5,2.380080624363452e-4,1.60377582254247e-5,5.797472991520003e-4
2017-09-20,0.001341281835215984,3.931142812743355e-5,9.988013986710594e-4,1.60377582254247e-5,0.0013421817560008709
2017-09-21,6.340353641543691e-4,3.931142812743355e-5,7.202533305060635e-4,1.60377582254247e-5,6.342364070630602e-4
2017-09-22,-1.8933410529947212e-4,3.931142812743355e-5,-5.407815697950643e-4,1.60377582254247e-5,-1.893161827288825e-4
2017-09-25,0.0010099297727843375,3.931142812743355e-5,0.0013183250091037921,1.60377582254247e-5,0.0010104399235817407
2017-09-26,-9.335099385879284e-4,3.931142812743355e-5,-0.0014689742249155025,1.60377582254247e-5,-9.330743537366848e-4
2017-09-27,0.0023474399540967302,3.931142812743355e-5,0.002247216641182028,1.60377582254247e-5,0.0023501973484494343
2017-09-28,-5.293162605046044e-4,3.931142812743355e-5,-5.124137810098872e-4,1.60377582254247e-5,-5.291761973664766e-4
2017-09-29,4.0284535151431953e-4,3.931142812743355e-5,1.3577561165975402e-4,1.60377582254247e-5,4.0292650459994306e-4
2017-10-02,9.554254737229066e-4,3.931142812743355e-5,7.99563476375823e-4,1.60377582254247e-5,9.558820380335398e-4
2017-10-03,8.825427054911199e-5,3.931142812743355e-5,2.0015508717179174e-4,1.60377582254247e-5,8.82581650718528e-5
2017-10-04,-1.388050862883542e-4,3.931142812743355e-5,-4.3010156092809684e-4,1.60377582254247e-5,-1.3879545330808263e-4
2017-10-05,8.780498474617173e-4,3.931142812743355e-5,0.0010859861883988973,1.60377582254247e-5,8.784354460791288e-4
2017-10-06,-9.752635875462593e-4,3.931142812743355e-5,-0.0010633740335965552,1.60377582254247e-5,-9.747881725779006e-4
2017-10-10,9.132720202253467e-4,3.931142812743355e-5,6.737342406470514e-4,1.60377582254247e-5,9.136891801007074e-4
2017-10-11,1.9695251912302616e-4,3.931142812743355e-5,5.129517782190623e-4,1.60377582254247e-5,1.9697191554368665e-4
2017-10-12,-9.371556218450964e-4,3.931142812743355e-5,-0.0011952370134482417,1.60377582254247e-5,-9.367166286610162e-4
2017-10-13,0.0012483574253848919,3.931142812743355e-5,0.0012633461867586702,1.60377582254247e-5,0.001249136947856222
2017-10-16,-4.1949560490860783e-4,3.931142812743355e-5,-5.150437323408659e-4,1.60377582254247e-5,-4.194076289296689e-4
2017-10-17,3.3270859894540827e-4,3.931142812743355e-5,4.94555888030957e-4,1.60377582254247e-5,3.327639525900761e-4
2017-10-18,-6.184230391669857e-4,3.931142812743355e-5,-6.979345678762103e-4,1.60377582254247e-5,-6.182318550521648e-4
2017-10-19,7.154742581651016e-4,3.931142812743355e-5,5.111859071302756e-4,1.60377582254247e-5,7.157302709253077e-4
2017-10-20,3.8993978797170515e-4,3.931142812743355e-5,4.6092303756720983e-4,1.60377582254247e-5,3.9001582437370175e-4
2017-10-23,-1.3088657497409352e-4,3.931142812743355e-5,-3.9637180931329256e-4,1.60377582254247e-5,-1.308780097000195e-4
2017-10-24,7.785849074459237e-4,3.931142812743355e-5,9.913795416987324e-4,1.60377582254247e-5,7.788880833525802e-4
2017-10-25,-9.760099657836955e-4,3.931142812743355e-5,-0.0010438347421143194,1.60377582254247e-5,-9.755338229763266e-4
2017-10-26,8.287100207114927e-4,3.931142812743355e-5,6.019589365432948e-4,1.60377582254247e-5,8.290534957344775e-4
2017-10-27,6.955345247495492e-4,3.931142812743355e-5,4.988176105579184e-4,1.60377582254247e-5,6.957764649764275e-4
2017-10-30,5.413752711661555e-4,3.931142812743355e-5,4.4140684551871454e-4,1.60377582254247e-5,5.415218412068157e-4
2017-10-31,1.8774546760889641e-4,3.931142812743355e-5,1.5480017068054223e-4,1.60377582254247e-5,1.8776309289214588e-4
2017-11-01,2.3015381139533436e-6,3.931142812743355e-5,4.756349352037884e-5,1.60377582254247e-5,2.3015407624171758e-6
2017-11-02,-2.1389113531274442e-4,3.931142812743355e-5,-1.61614543333849e-4,1.60377582254247e-5,-2.1386826223468436e-4
2017-11-03,1.377888035980572e-4,3.931142812743355e-5,-1.0655302948030898e-4,1.60377582254247e-5,1.3779829691129564e-4
2017-11-06,0.0010326175710903187,3.931142812743355e-5,8.168902607973149e-4,1.60377582254247e-5,0.0010331509041749953
2017-11-07,2.9650122348592623e-4,3.931142812743355e-5,3.8423123259894847e-4,1.60377582254247e-5,2.965451843184308e-4
2017-11-08,-4.7479894033201247e-4,3.931142812743355e-5,-4.21287766808104e-4,1.60377582254247e-5,-4.746862411523223e-4
2017-11-09,-2.1224572361093467e-4,3.931142812743355e-5,-1.4420184297807607e-5,1.60377582254247e-5,-2.1222320108083004e-4
2017-11-10,-5.769558403916934e-4,3.931142812743355e-5,-6.241280000043836e-4,1.60377582254247e-5,-5.767894333754686e-4
2017-11-13,-3.1292611918278944e-5,3.931142812743355e-5,3.8098170583490904e-4,1.60377582254247e-5,-3.129212230956746e-5
2017-11-14,-0.0016848176068929121,3.931142812743355e-5,-0.0014527554811053197,1.60377582254247e-5,-0.0016833990984631564
2017-11-15,-4.571061319227877e-5,3.931142812743355e-5,-2.009808555041774e-4,1.60377582254247e-5,-4.5709568478158324e-5
2017-11-16,8.675318426530989e-4,3.931142812743355e-5,5.684045183923082e-4,1.60377582254247e-5,8.679082572446983e-4
2017-11-17,7.014541403663112e-4,3.931142812743355e-5,7.415248958382297e-4,1.60377582254247e-5,7.017002168556719e-4
2017-11-20,-1.1087577815617036e-4,3.931142812743355e-5,-4.018144463233882e-4,1.60377582254247e-5,-1.1086963166428987e-4
2017-11-21,0.0011081386813685248,3.931142812743355e-5,0.0010743834015713486,1.60377582254247e-5,0.001108752893893783
2017-11-22,-3.580746680196302e-4,3.931142812743355e-5,-2.9004153795725513e-4,1.60377582254247e-5,-3.5801056693696154e-4
2017-11-23,1.1122178918731185e-4,3.931142812743355e-5,-1.0917974526315693e-4,1.60377582254247e-5,1.1122797455986877e-4
2017-11-24,4.705566343057514e-4,3.931142812743355e-5,7.416861599948985e-4,1.60377582254247e-5,4.7066736344625326e-4
2017-11-27,-0.0011134545885908404,3.931142812743355e-5,-0.0011370816265860039,1.60377582254247e-5,-0.0011128349280397076
