date,filtered_mean,filtered_variance,simple_return
2018-08-10,-7.10640656346831e-5,7.126665885267841e-10,-7.106154064373538e-5
2018-08-13,-4.0195821075572494e-4,6.445082536855856e-10,-4.0187743637709605e-4
2018-08-14,5.201638182851294e-4,7.74161371655198e-10,5.202991269439572e-4
2018-08-15,-3.092768033276954e-4,1.0679029783311305e-9,-3.092289821873262e-4
2018-08-16,5.621187845253338e-4,6.335917260687278e-10,5.622768028963332e-4
2018-08-17,9.936489095634265e-4,5.513201978537209e-10,9.94142742193116e-4
2018-08-20,5.785984144751454e-4,5.089044049516812e-10,5.787658348259672e-4
2018-08-21,1.0787542136461324e-4,7.239246390880672e-10,1.0788124012717226e-4
2018-08-22,5.563954720595624e-4,8.51465115377642e-10,5.565502887319163e-4
2018-08-23,1.9799187719462546e-4,5.293490658643373e-10,1.9801147887998916e-4
2018-08-24,4.382656810402222e-4,4.805667093868609e-10,4.383617334755563e-4
2018-08-27,8.91231866846567e-4,5.50379861298364e-10,8.916291319764902e-4
2018-08-28,-5.362733640973822e-5,8.580982795271552e-10,-5.362589848978416e-5
2018-08-29,3.9228111847978216e-4,4.551736417923267e-10,3.9235807077964147e-4
2018-08-30,1.4608947971435113e-4,6.040487331853095e-10,1.4610015130211984e-4
2018-08-31,-4.2589548459743697e-4,5.395465043902939e-10,-4.258048039894602e-4
2018-09-04,-6.52302444078593e-4,8.388776674456335e-10,-6.520897410907667e-4
2018-09-05,-2.953044642254807e-4,6.578431717338706e-10,-2.9526086615383473e-4
2018-09-06,-2.5782900713192786e-4,6.841380298341714e-10,-2.577957720898416e-4
2018-09-07,-4.050906717445593e-5,6.220086847587568e-10,-4.050824669332709e-5
2018-09-10,-1.3088110671621264e-4,5.968898802611272e-10,-1.3087254215782274e-4
2018-09-11,3.788088028859662e-4,6.228021562140085e-10,3.7888056000090486e-4
2018-09-12,-5.145126849640186e-5,5.629980233549256e-10,-5.144994490258181e-5
2018-09-13,-2.3259625679762034e-4,4.686941617628769e-10,-2.3256920838543582e-4
2018-09-14,1.4510109397631256e-4,6.253716258966375e-10,1.4511162164931868e-4
2018-09-17,6.884622433253687e-4,7.355485116905136e-10,6.886992878512022e-4
2018-09-18,0.0010947285573247529,8.134018376850572e-10,0.001095327991351036
2018-09-19,2.2661215884425988e-4,5.464560096017328e-10,2.2663783731924347e-4
2018-09-20,7.012954260080636e-4,6.127001780783438e-10,7.015413911399815e-4
2018-09-21,4.8415407834381016e-4,4.160286002676739e-10,4.8427129984651707e-4
2018-09-24,1.8922558284356487e-4,5.265811409361305e-10,1.8924348713356132e-4
2018-09-25,-1.3743281372978082e-4,7.762144035101395e-10,-1.3742337027322638e-4
2018-09-26,1.6361386083824079e-4,6.460162954705643e-10,1.6362724631591163e-4
2018-09-27,4.7537038400964e-4,6.736560731667452e-10,4.754833904165867e-4
2018-09-28,-3.170941380928569e-4,7.23130598212197e-10,-3.17043869060174e-4
2018-10-01,2.652328866588117e-4,4.128313943421071e-10,2.652680640109484e-4
2018-10-02,-3.14816882570794e-4,7.145959916159372e-10,-3.1476733293589465e-4
2018-10-03,4.2801740624912987e-4,7.895717519448332e-10,4.2810901876921825e-4
2018-10-04,-1.45294770248443e-4,6.134963092719244e-10,-1.452842154745504e-4
2018-10-05,-3.4874217961940624e-4,4.1779086535639934e-10,-3.4868137613397465e-4
2018-10-09,-5.853036230180895e-4,6.544727464384719e-10,-5.851323662665608e-4
2018-10-10,-6.176043482482221e-4,8.013131865323877e-10,-6.174136699393928e-4
2018-10-11,-8.039669298378597e-4,1.0859688413184429e-9,-8.036438350174091e-4
2018-10-12,4.544121836698461e-4,6.400037370499297e-10,4.545154445265709e-4
2018-10-15,2.754313574033071e-4,6.376219311556939e-10,2.7546929210231497e-4
2018-10-16,9.815987889162155e-4,7.945534957208746e-10,9.820807146805333e-4
2018-10-17,1.4131104468945098e-4,4.017832473535889e-10,0.00014132102956554426
2018-10-18,-4.688745475807264e-4,4.5500064008173484e-10,-4.6876464308787114e-4
2018-10-19,4.471906908392235e-4,7.93200167729879e-10,4.4729069550264455e-4
2018-10-22,-1.0800833642837787e-4,7.798162017213926e-10,-1.080025037379917e-4
2018-10-23,-5.847591321623298e-4,6.482389910397892e-10,-5.84588193861868e-4
2018-10-24,-5.662230161797167e-4,8.296207845329227e-10,-5.660627421794073e-4
2018-10-25,6.0491512900522456e-5,4.473141404551567e-10,6.0493342548983975e-5
2018-10-26,-1.277724784286951e-4,5.318619660873817e-10,-1.2776431587324666e-4
2018-10-29,-5.915791909866271e-4,9.558427537320757e-10,-5.914042425173571e-4
2018-10-30,6.130285700883954e-4,9.016284099698047e-10,6.132165105046106e-4
2018-10-31,0.0011350291277342941,7.749021586351482e-10,0.001135673517071778
2018-11-01,0.0013367607335685754,9.234895580590522e-10,0.0013376545964471909
2018-11-02,4.056121846634599e-4,6.696400427171361e-10,4.0569445640881163e-4
2018-11-05,9.54623651536056e-4,9.383427088825393e-10,9.550794497210635e-4
2018-11-06,0.0010713244469681056,6.752796533748161e-10,0.0010718985199913433
2018-11-07,0.001124380438378137,5.521410560203453e-10,0.0011250127910427121
2018-11-08,4.745621568259807e-4,4.685016625966926e-10,4.746747792609973e-4
2018-11-09,-2.2386334081124276e-4,7.217027900204801e-10,-2.238382852832732e-4
2018-11-12,-6.212419176918026e-4,9.146091030221449e-10,-6.210489868859748e-4
2018-11-13,-3.0915831435639543e-4,6.805129259275504e-10,-3.0911052984916587e-4
2018-11-14,2.836839864601233e-5,7.381707377569353e-10,2.8368801032740976e-5
2018-11-15,2.5360772582006013e-4,4.970519284158818e-10,2.536398869781298e-4
2018-11-16,3.2595088010607134e-4,3.4145760479748945e-10,3.2600400786630956e-4
2018-11-19,-2.9154453947985036e-4,5.946306789784986e-10,-2.915020445004579e-4
2018-11-20,-6.528493963266004e-4,1.1886376648358222e-9,-6.526363365273458e-4
2018-11-21,5.29662408075971e-4,1.1647474014191035e-9,5.298027039779551e-4
2018-11-22,3.113128394323075e-4,7.607098180577161e-10,3.1136130230313697e-4
2018-11-23,-2.900287049136908e-4,1.066914717734703e-9,-2.899866506546056e-4
2018-11-26,4.298216537988145e-5,7.59444360799066e-10,4.29830891264249e-5
2018-11-27,-3.3984834796300424e-4,5.663797818280906e-10,-3.397906060546019e-4
2018-11-28,6.494066652547247e-4,7.663445724379067e-10,6.496175754162614e-4
2018-11-29,5.777097707995421e-4,8.06661744146169e-10,5.778766772288613e-4
2018-11-30,3.912160938100912e-4,4.621439412677567e-10,3.9129262880632787e-4
2018-12-03,8.503472055499023e-4,5.660122929054491e-10,8.507088532363483e-4
2018-12-04,-1.1742158702905903e-4,8.557389043591884e-10,-1.174146933843323e-4
2018-12-05,7.964029688709639e-4,9.48141054621186e-10,7.967201819196745e-4
2018-12-06,-9.41710499356223e-5,7.755479006258913e-10,-9.416661598149467e-5
2018-12-07,-6.002985383874626e-4,7.81805671835355e-10,-6.001183952681899e-4
2018-12-10,-6.07906866582737e-4,7.95371776558783e-10,-6.077221286399093e-4
