date,adjusted,volume
2017-09-06,15059.7998046875,174651400
2017-09-07,15024.5,153852900
2017-09-08,14985.2998046875,144437300
2017-09-11,15040.2998046875,163375200
2017-09-12,15143.400390625,163186900
2017-09-13,15126.7998046875,176837000
2017-09-14,15172.7001953125,186187100
2017-09-15,15173,548079500
2017-09-18,15236.7001953125,165350500
2017-09-19,15293,170903600
2017-09-20,15389.599609375,219715100
2017-09-21,15454.900390625,185348500
2017-09-22,15454.2001953125,168293800
2017-09-25,15516.2001953125,199184000
2017-09-26,15474.099609375,167217300
2017-09-27,15609.7001953125,203120800
2017-09-28,15618.2998046875,186250100
2017-09-29,15634.900390625,186884600
2017-10-02,15705,156580500
2017-10-03,15728.5,173093100
2017-10-04,15721,177404500
2017-10-05,15776.2998046875,163039600
2017-10-06,15728.2998046875,138492000
2017-10-10,15770.400390625,156218300
2017-10-11,15800.400390625,164401700
2017-10-12,15742.2001953125,153991800
2017-10-13,15807.2001953125,138471400
2017-10-16,15802.7001953125,146651400
2017-10-17,15816.900390625,196278100
2017-10-18,15782.2001953125,154459600
2017-10-19,15818,149310500
2017-10-20,15857.2001953125,155954500
2017-10-23,15855.7998046875,142570700
2017-10-24,15905.099609375,156385600
2017-10-25,15854.7998046875,177185000
2017-10-26,15891.599609375,190173500
2017-10-27,15953.5,209593900
2017-10-30,16002.7998046875,188586400
2017-10-31,16025.599609375,193921000
2017-11-01,16029.2998046875,224524200
2017-11-02,16015,210150200
2017-11-03,16020.2001953125,178755200
2017-11-06,16092.2001953125,196882200
2017-11-07,16131.7998046875,187894000
2017-11-08,16105.400390625,202581100
2017-11-09,16082.099609375,194341000
2017-11-10,16039.2998046875,171526200
2017-11-13,16026.2998046875,138974400
2017-11-14,15913.099609375,166018900
2017-11-15,15878.5,177046800
2017-11-16,15935.400390625,160419600
2017-11-17,15998.599609375,169091400
2017-11-20,16004.400390625,154502800
2017-11-21,16076.7001953125,156331300
2017-11-22,16073.599609375,150764100
2017-11-23,16074.2998046875,49979100
2017-11-24,16108.099609375,99351700
2017-11-27,16042.099609375,135241000
2017-11-28,16029.599609375,153985000
2017-11-29,15967.7001953125,169842300
2017-11-30,16067.5,440676100
2017-12-01,16039,220633900
2017-12-04,15969,172661600
2017-12-05,15915.7001953125,173448300
2017-12-06,15908.7998046875,180013600
2017-12-07,16015.7001953125,168828300
2017-12-08,16096.099609375,149423200
2017-12-11,16103.5,150667200
2017-12-12,16114,192679800
2017-12-13,16136.599609375,211583300
2017-12-14,16016.5,187146500
2017-12-15,16042,414094100
2017-12-18,16131.599609375,172506500
2017-12-19,16133.400390625,191021900
2017-12-20,16159.7001953125,178794500
2017-12-21,16182.599609375,159267100
2017-12-22,16165.2998046875,133173500
2017-12-27,16203.099609375,131755400
2017-12-28,16222,133908700
2017-12-29,16209.099609375,179568700
2018-01-02,16310,157073400
2018-01-03,16371.599609375,196865400
2018-01-04,16412.900390625,195975200
2018-01-05,16349.400390625,160313100
2018-01-08,16317.7001953125,166095400
2018-01-09,16319.2001953125,236911700
2018-01-10,16248,243953300
2018-01-11,16286.900390625,231161200
2018-01-12,16308.2001953125,242891100
2018-01-15,16371.7998046875,123891500
2018-01-16,16298.900390625,246627400
2018-01-17,16326.7001953125,221463200
2018-01-18,16284.5,212308100
2018-01-19,16353.5,201143600
2018-01-22,16348,205285200
2018-01-23,16357.599609375,234085600
2018-01-24,16284.2001953125,245792400
2018-01-25,16204,234944000
2018-01-26,16239.2001953125,202112800
2018-01-29,16094.7001953125,200161400
2018-01-30,15955.5,227045000
2018-01-31,15951.7001953125,249790300
2018-02-01,15860.900390625,224854400
2018-02-02,15606,233251100
2018-02-05,15334.7998046875,264583100
2018-02-06,15363.900390625,289213400
2018-02-07,15330.599609375,243344100
2018-02-08,15065.599609375,256435100
2018-02-09,15034.5,290429600
2018-02-12,15241.900390625,254215800
2018-02-13,15216.5,219326700
2018-02-14,15328.2998046875,286177400
2018-02-15,15407.7001953125,248749100
2018-02-16,15452.599609375,215288300
